"id","ultCot","cod","cotAtual","divYield","ultInsert","ultAt"
"158","2023-01-11","PRNR3","8.21","3.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"159","2023-01-11","EZTC3","13.74","5.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"160","2023-01-11","QUAL3","6.73","3.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"161","2023-01-11","DMVF3","4.03","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"162","2023-01-11","ALUP4","9.41","4.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"163","2023-01-11","MRVE3","7.82","5.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"164","2023-01-11","VBBR3","15.04","5.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"165","2023-01-11","CMIN3","4.52","20.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"166","2023-01-11","BRKM6","21.89","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"167","2023-01-11","CSMG3","15.62","2.5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"168","2023-01-11","CSNA3","17.15","14.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"169","2022-12-14","CEED4","35","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"170","2023-01-11","LAVV3","5.01","12.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"171","2023-01-11","TGMA3","18.74","6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"172","2023-01-11","CIEL3","5.11","4.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"173","2023-01-11","GRND3","6.52","4.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"174","2023-01-11","CGAS5","130.3","11.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"175","2023-01-11","PRIO3","39.02","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"176","2023-01-11","POMO4","2.85","5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"177","2023-01-11","JSLG3","5.7","7.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"178","2023-01-11","BEEF3","14.49","3.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"179","2023-01-11","CURY3","12.41","4.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"180","2023-01-11","SOJA3","10.72","1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"181","2022-12-12","BRGE6","12.01","6.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"182","2023-01-11","SIMH3","7.26","9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"183","2023-01-11","AZEV4","1.77","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"184","2023-01-11","OFSA3","26.8","2.5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"185","2023-01-11","VITT3","11.81","3.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"186","2023-01-11","MILS3","10.27","2.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"187","2023-01-11","TRIS3","3.7","5.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"188","2022-12-26","JOPA4","37.4","2.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"189","2023-01-11","SBSP3","55.83","1.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"190","2023-01-11","ODPV3","9.85","3.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"191","2023-01-06","BRML3","8.26","0.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"192","2023-01-11","DIRR3","15.13","7.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"193","2023-01-11","CRFB3","14.53","2.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"194","2023-01-11","TIMS3","11.7","4.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"195","2023-01-11","EQTL3","27.36","2.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"196","2023-01-11","PSSA3","23.62","4.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"197","2023-01-11","WHRL4","4.95","4.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"198","2023-01-11","MTRE3","4.78","6.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"199","2023-01-11","ENMT4","82","4.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"200","2023-01-11","GMAT3","6.37","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"201","2023-01-11","DOHL4","4.27","3.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"202","2023-01-11","BMOB3","14.63","1.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"203","2023-01-11","BLAU3","26.75","3.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"204","2023-01-11","BOAS3","7.8","3.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
